code,Median_Tasmax(Maximum_Surface_Air_Temperature)_1950-210,Mean_Tas(Average_Surface_Temperature)_195,Median_Cwd(Max_Num_Consecutive_Wet_Days)_195,Mean_Pr(Precipitation)_195,Mean_Tasmin(Minimum_Surface_Air_Temperature)_195,Median_Hurs(Relative_Humidity)_195,Median_Tas(Average_Surface_Temperature)_195,Median_Tasmin(Minimum_Surface_Air_Temperature)_195,Median_Cdd(Max_Num_Consecutive_Dry_Days)_195,Mean_Tasmax(Maximum_Surface_Air_Temperature)_195
1950,32.35,27.3,62.23,992.48,21.97,55.21,26.99,21.65,83.48,32.63
1951,32.47,27.13,63.29,964.94,21.66,55.27,27.13,21.79,84.42,32.59
1952,32.37,27.38,64.0,1070.68,21.93,55.25,27.0,21.62,83.95,32.82
1953,32.42,27.2,61.53,1083.76,21.8,55.1,27.02,21.62,85.5,32.59
1954,32.34,27.39,65.28,1044.29,22.05,55.81,27.03,21.73,83.24,32.72
1955,32.28,27.03,63.75,1097.12,21.64,55.49,26.98,21.65,83.06,32.43
1956,32.24,26.85,65.58,980.12,21.56,55.75,26.93,21.6,85.11,32.13
1957,32.42,27.19,61.9,1080.81,21.86,55.55,27.13,21.8,83.85,32.53
1958,32.38,26.89,60.27,1101.53,21.59,55.02,27.0,21.65,84.45,32.18
1959,32.34,27.29,64.95,1041.71,21.85,55.51,27.02,21.7,84.14,32.74
1960,32.37,27.12,62.13,1133.56,21.92,55.84,27.09,21.8,83.71,32.33
1961,32.38,27.2,67.1,918.16,21.81,55.15,27.04,21.71,84.44,32.59
1962,32.35,26.81,62.27,1100.56,21.55,55.57,27.07,21.77,83.89,32.07
1963,32.05,26.84,65.82,982.11,21.55,55.3,26.73,21.42,84.57,32.14
1964,31.95,26.62,63.88,1176.5,21.38,56.46,26.69,21.43,82.51,31.85
1965,32.21,26.55,60.64,989.08,21.27,55.92,26.89,21.56,82.28,31.83
1966,32.22,26.48,64.09,1028.35,21.19,55.98,26.89,21.57,83.28,31.77
1967,32.23,26.48,63.13,1160.93,21.23,55.24,26.87,21.53,85.06,31.73
1968,32.28,27.13,59.39,964.28,21.67,55.42,26.96,21.6,83.41,32.59
1969,32.33,27.02,59.35,992.67,21.6,54.86,26.96,21.59,84.21,32.43
1970,32.29,27.04,62.98,1175.53,21.88,55.81,27.01,21.72,82.4,32.2
1971,32.25,26.83,62.72,902.36,21.47,55.42,26.94,21.6,83.57,32.2
1972,32.26,26.92,58.92,1074.52,21.6,55.69,26.97,21.69,83.36,32.24
1973,32.36,27.56,60.13,1043.61,22.17,55.48,27.06,21.78,82.58,32.95
1974,32.26,26.74,60.23,1019.84,21.39,55.5,26.95,21.68,83.89,32.09
1975,32.27,27.03,61.89,966.99,21.67,55.16,26.95,21.6,83.99,32.39
1976,32.21,26.8,63.02,1049.18,21.48,55.83,26.91,21.65,83.85,32.13
1977,32.35,26.8,60.78,1242.86,21.63,55.81,27.09,21.82,82.58,31.96
1978,32.27,26.69,62.93,1055.23,21.41,55.69,27.02,21.73,83.56,31.98
1979,32.41,27.2,62.15,991.91,21.84,55.59,27.1,21.77,83.53,32.56
1980,32.43,27.14,60.82,1080.94,21.74,54.96,27.09,21.75,84.67,32.53
1981,32.42,27.1,61.38,1182.75,21.85,55.29,27.14,21.84,84.12,32.36
1982,32.36,27.01,58.75,888.54,21.55,54.95,27.08,21.78,85.09,32.47
1983,32.37,27.03,60.04,1042.99,21.7,55.37,27.03,21.69,83.26,32.36
1984,32.34,27.1,56.9,938.88,21.75,55.28,27.05,21.76,83.22,32.44
1985,32.24,27.15,63.33,1077.58,21.89,55.58,26.96,21.71,83.01,32.41
1986,32.48,27.6,62.22,1093.72,22.32,56.24,27.2,21.93,83.58,32.87
1987,32.41,26.92,62.3,1013.33,21.67,55.77,27.11,21.81,83.92,32.17
1988,32.51,27.25,61.12,993.29,21.86,55.07,27.17,21.87,85.18,32.64
1989,32.42,27.13,59.82,1115.62,21.94,55.97,27.14,21.86,82.49,32.31
1990,32.56,27.45,59.78,1202.87,22.33,56.15,27.31,22.06,83.31,32.57
1991,32.48,27.46,62.49,1084.07,22.1,56.22,27.22,21.99,81.96,32.82
1992,32.16,26.31,63.19,1005.06,21.02,55.98,26.88,21.65,83.71,31.59
1993,32.16,27.21,60.58,1081.87,21.98,56.38,26.91,21.7,82.82,32.44
1994,32.35,27.31,64.02,1124.88,22.1,56.2,27.11,21.89,82.98,32.52
1995,32.36,27.25,67.02,1086.36,22.03,56.54,27.16,21.92,81.47,32.48
1996,32.39,27.38,62.7,1023.49,22.11,56.4,27.17,21.95,83.11,32.66
1997,32.56,26.84,67.12,1123.27,21.6,56.44,27.33,22.08,82.2,32.07
1998,32.49,26.98,61.0,1125.38,21.79,56.52,27.25,22.0,82.82,32.18
1999,32.51,27.24,65.07,1144.48,22.07,56.4,27.28,22.04,82.62,32.4
2000,32.61,27.46,65.59,1158.31,22.15,56.39,27.36,22.11,83.67,32.77
2001,32.74,27.79,60.72,1115.41,22.63,56.47,27.56,22.36,83.48,32.94
2002,32.65,27.44,62.82,1011.14,22.21,56.7,27.43,22.22,82.02,32.68
2003,32.64,27.84,62.33,1013.32,22.51,56.9,27.47,22.29,81.79,33.17
2004,32.67,27.38,65.72,1185.32,22.18,56.54,27.42,22.19,82.67,32.58
2005,32.6,27.33,62.32,1157.24,22.14,56.64,27.41,22.22,84.45,32.52
2006,32.67,27.46,64.55,1202.21,22.22,57.21,27.47,22.27,82.44,32.7
2007,32.63,27.16,62.44,1077.1,21.92,56.71,27.44,22.25,83.27,32.41
2008,32.7,27.16,65.58,1140.45,21.92,56.67,27.5,22.28,84.25,32.41
2009,32.69,27.5,64.88,1102.72,22.35,56.87,27.49,22.31,83.23,32.65
2010,32.79,27.97,62.31,1144.74,22.82,57.31,27.62,22.44,81.27,33.13
2011,32.81,28.11,62.03,1143.68,22.97,56.83,27.62,22.44,81.61,33.24
2012,32.82,27.99,63.48,1291.76,22.87,57.5,27.69,22.54,81.79,33.11
2013,32.86,27.36,61.64,1231.69,22.21,56.31,27.65,22.43,83.11,32.52
2014,32.89,27.94,63.45,1093.99,22.69,56.78,27.7,22.54,83.14,33.19
2015,32.82,27.92,64.97,1051.42,22.65,57.33,27.68,22.49,82.51,33.18
2016,32.67,28.01,66.5,1130.65,22.83,57.37,27.62,22.44,81.22,33.19
2017,32.77,27.98,65.9,1131.3,22.86,57.5,27.66,22.43,83.02,33.11
2018,32.92,27.86,65.72,1137.71,22.66,57.56,27.73,22.61,81.04,33.06
2019,33.06,28.35,62.48,1214.09,23.1,57.05,27.8,22.74,82.98,33.61
2020,33.25,28.32,64.46,1022.87,23.0,56.73,27.76,22.82,82.79,33.64
2021,33.06,28.32,65.32,1038.48,23.17,56.81,27.78,22.67,83.18,33.48
2022,33.0,28.07,66.48,1117.21,22.87,56.82,27.84,22.69,82.62,33.26
2023,33.12,28.48,64.41,987.11,23.21,57.45,27.84,22.84,82.14,33.75
2024,33.4,28.8,63.29,1368.41,23.71,57.09,27.95,22.97,82.7,33.89
2025,33.28,28.32,67.15,1254.98,23.3,56.93,27.93,22.93,83.56,33.35
2026,33.26,28.22,66.02,1260.41,23.09,57.31,27.98,22.96,81.78,33.34
2027,33.25,28.76,65.29,1189.97,23.66,57.22,28.02,22.9,81.25,33.86
2028,33.44,28.85,68.96,1272.01,23.73,57.28,28.04,23.06,81.94,33.97
2029,33.39,28.97,65.66,1075.01,23.76,56.92,28.03,23.03,82.93,34.19
2030,33.39,29.03,63.69,1236.25,23.84,56.51,28.01,23.02,82.92,34.21
2031,33.54,28.89,69.4,1131.99,23.66,57.28,28.14,23.2,82.29,34.13
2032,33.52,28.64,65.47,1239.94,23.54,56.45,28.09,23.12,83.17,33.75
2033,33.49,28.39,65.46,1389.99,23.38,56.75,28.08,23.11,82.82,33.4
2034,33.48,28.58,67.49,1268.01,23.5,57.16,28.07,23.16,82.58,33.67
2035,33.47,28.53,63.9,1329.34,23.52,57.08,28.14,23.21,82.58,33.54
2036,33.45,28.99,68.2,1067.59,23.79,57.05,28.11,23.22,81.41,34.19
2037,33.61,29.31,66.61,1046.48,24.12,56.92,28.18,23.22,82.91,34.5
2038,33.62,29.09,69.48,1229.27,24.03,56.83,28.21,23.3,83.42,34.16
2039,33.62,29.18,68.4,1223.13,24.05,57.0,28.21,23.26,82.89,34.31
2040,33.47,29.39,69.6,1246.39,24.2,57.24,28.18,23.21,81.33,34.57
2041,33.48,28.87,65.77,1237.15,23.8,56.83,28.18,23.22,84.0,33.94
2042,33.61,28.9,65.08,1182.29,23.81,57.01,28.29,23.29,82.24,33.99
2043,33.58,29.47,63.83,1170.37,24.41,56.41,28.25,23.29,82.89,34.53
2044,33.6,29.4,62.04,1213.67,24.27,56.52,28.23,23.22,82.87,34.54
2045,33.6,29.38,68.32,1315.38,24.38,57.41,28.29,23.3,81.64,34.38
2046,33.85,29.15,66.39,1200.88,24.02,56.87,28.36,23.41,83.5,34.29
2047,33.73,29.19,64.98,1143.97,24.05,56.84,28.29,23.36,82.51,34.34
2048,33.64,29.66,66.79,1213.38,24.54,56.69,28.29,23.22,83.35,34.78
2049,33.73,29.17,63.69,1367.15,24.07,57.24,28.35,23.4,82.49,34.27
2050,33.78,29.1,62.78,1224.22,23.96,57.02,28.31,23.52,82.23,34.23
2051,33.82,29.45,64.92,1267.01,24.37,56.44,28.32,23.42,81.43,34.53
2052,33.67,29.43,64.64,1304.75,24.4,57.4,28.32,23.38,82.85,34.46
2053,33.77,29.79,63.15,1182.89,24.46,56.57,28.32,23.44,83.41,35.12
2054,33.69,29.79,62.8,1290.72,24.65,57.02,28.33,23.48,83.29,34.94
2055,33.72,29.24,63.49,1192.13,24.12,56.97,28.3,23.34,83.53,34.37
2056,33.64,30.08,63.76,1225.18,24.94,56.98,28.3,23.34,83.82,35.22
2057,33.64,29.19,66.69,1218.94,24.18,56.77,28.32,23.28,83.33,34.2
2058,33.73,29.3,65.77,1327.77,24.25,57.12,28.31,23.44,83.16,34.34
2059,33.61,29.77,64.72,1142.22,24.56,57.02,28.27,23.31,82.98,34.98
2060,33.69,29.65,65.06,1248.74,24.52,56.23,28.3,23.33,82.77,34.79
2061,33.76,29.54,63.96,1251.76,24.48,56.68,28.31,23.39,82.49,34.6
2062,33.76,29.79,61.84,1129.16,24.58,56.63,28.3,23.42,83.48,35.0
2063,33.96,30.31,62.58,1227.91,25.14,56.71,28.31,23.55,82.0,35.48
2064,33.97,30.4,65.47,1038.16,25.15,56.77,28.31,23.59,81.78,35.64
2065,33.59,29.37,63.48,1191.12,24.15,57.12,28.25,23.36,82.61,34.59
2066,33.99,29.73,62.18,1197.44,24.6,56.91,28.29,23.61,82.28,34.87
2067,33.95,30.22,63.43,1203.65,24.94,56.87,28.29,23.55,82.02,35.49
2068,33.92,30.04,63.18,1348.09,24.97,56.92,28.27,23.54,82.87,35.11
2069,33.86,29.23,64.52,1231.49,24.16,57.11,28.27,23.53,82.02,34.29
2070,33.89,29.48,65.03,1345.87,24.4,56.77,28.24,23.53,81.48,34.57
2071,33.64,30.09,62.52,1159.94,24.9,56.96,28.24,23.43,82.6,35.28
2072,33.8,28.93,66.61,1246.66,23.8,56.35,28.21,23.34,83.68,34.06
2073,33.78,29.53,64.89,1047.73,24.29,57.02,28.22,23.48,82.14,34.76
2074,33.78,29.65,63.77,1161.89,24.51,56.97,28.18,23.43,83.53,34.78
2075,33.79,29.47,65.9,1218.42,24.3,56.94,28.2,23.45,82.47,34.64
2076,33.67,29.44,68.64,1077.76,24.26,56.74,28.18,23.39,82.7,34.62
2077,33.89,29.39,59.97,1077.19,24.15,56.68,28.2,23.42,83.11,34.62
2078,33.84,29.61,64.45,1322.01,24.56,56.8,28.19,23.58,82.17,34.66
2079,33.84,29.93,69.68,1155.09,24.78,56.61,28.18,23.59,83.45,35.08
2080,33.82,29.17,65.81,1251.82,24.09,56.39,28.17,23.4,83.25,34.25
2081,33.87,29.46,62.5,1156.71,24.35,56.57,28.17,23.44,82.88,34.57
2082,33.95,29.64,66.43,1380.87,24.57,56.69,28.17,23.54,81.91,34.7
2083,33.72,29.42,63.34,1230.82,24.26,56.31,28.15,23.42,83.31,34.58
2084,33.8,29.75,65.92,1201.7,24.61,56.35,28.13,23.41,82.5,34.88
2085,33.85,29.63,62.04,1077.84,24.46,56.45,28.15,23.46,83.67,34.8
2086,33.91,29.6,64.64,1183.93,24.31,56.72,28.16,23.5,82.73,34.88
2087,33.69,29.94,64.62,1089.21,24.73,56.66,28.12,23.47,83.87,35.15
2088,33.66,29.7,63.31,1188.85,24.5,56.7,28.13,23.3,82.72,34.9
2089,33.71,29.66,63.09,1209.39,24.63,56.31,28.13,23.32,83.31,34.69
2090,33.76,29.78,65.13,1183.69,24.74,56.39,28.14,23.41,83.82,34.83
2091,33.88,29.7,65.54,1096.58,24.54,56.7,28.17,23.57,81.16,34.87
2092,33.71,29.86,66.53,1194.65,24.76,56.69,28.15,23.34,81.65,34.96
2093,33.78,29.8,66.16,1162.55,24.54,56.43,28.15,23.23,84.04,35.05
2094,33.65,29.79,67.3,1195.42,24.65,56.66,28.17,23.33,83.22,34.93
2095,33.82,30.1,66.45,1202.87,24.93,56.64,28.2,23.35,83.26,35.27
2096,33.38,29.62,63.56,1352.85,24.56,56.75,28.11,23.03,83.1,34.68
2097,33.66,29.4,65.95,1151.71,24.21,56.77,28.2,23.28,83.16,34.59
2098,33.86,29.59,64.9,1182.07,24.39,56.92,28.23,23.4,82.11,34.8
2099,33.91,29.32,68.83,1141.07,24.05,56.33,28.26,23.46,83.02,34.58
2100,33.8,29.56,66.48,1139.44,24.27,56.7,28.27,23.51,81.45,34.85
